rank,feature,mean_abs_shap
1,EXT_SOURCE_2,0.34588522
2,EXT_SOURCE_3,0.3085644
3,EXT_SOURCE_1,0.13060302
4,late_payment_ratio,0.11352075
5,AMT_GOODS_PRICE,0.09028128
6,AMT_CREDIT,0.0894501
7,DAYS_EMPLOYED,0.0817583
8,DAYS_BIRTH,0.07976994
9,pos_remaining_installments_mean,0.07613888
10,AMT_ANNUITY,0.07413324
11,CODE_GENDER_F,0.06648445
12,NAME_EDUCATION_TYPE_Higher education,0.06638304
13,bureau_debt_to_credit,0.06356591
14,pos_remaining_installments_max,0.06292758
15,total_installment_amount,0.06260032
16,prev_amt_down_payment_mean,0.06195296
17,prev_refusal_ratio,0.056720417
18,NAME_FAMILY_STATUS_Married,0.05459889
19,CODE_GENDER_M,0.05376916
20,FLAG_DOCUMENT_3_0,0.042185888
